Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),Altitude(cm),,,Stationary test 21/02/2016
17524,0.00884882,-0.009005899,0.03326597,0,0,0,-8.548257,28.94297,-995.6152,0,,,
17589,0.008918632,-0.009040806,0.03330088,0,0,0,-8.080044,37.04809,-1002.25,0,,,
17654,0.008901179,-0.009075711,0.03333579,0,0,0,-8.087664,35.73258,-1005.075,0,,,
17719,0.008901179,-0.009023353,0.03338815,0,0,0,0,0,0,0,,,
17784,0.008883726,-0.009058258,0.03342305,0,0,0,-8.200542,37.34236,-1001.942,0,,,
17849,0.008813913,-0.009040806,0.03344051,0,0,0,-8.282922,36.72731,-995.4004,0,,,
17914,0.008813913,-0.009005899,0.03349287,0,0,0,-8.105189,39.4839,-996.708,0,,,
17979,0.008761552,-0.00895354,0.03354523,0,0,0,-3.813503,37.24126,-996.6323,0,,,
18044,0.008744099,-0.009005899,0.03356268,0,0,0,-8.069157,37.31934,-1004.069,0,,,
18109,0.008726646,-0.008901179,0.03359759,0,0,0,-3.918994,35.364,-996.168,0,,,
18174,0.008691739,-0.008918632,0.03363249,0,0,0,-7.961978,37.57228,-996.6128,0,,,
18239,0.008656833,-0.008970993,0.0336674,0,0,0,-8.104436,37.38785,-996.6392,0,,,
18304,0.00858702,-0.008988446,0.03371976,0,0,0,-8.066939,37.54668,-996.6387,0,,,
18369,0.008656833,-0.009040806,0.03377212,0,0,0,-6.85919,33.00819,-996.6279,0,,,
18434,0.008621926,-0.008936086,0.03380703,0,0,0,-7.945152,37.01108,-1003.446,0,,,
18499,0.00858702,-0.008761552,0.03387684,0,0,0,-2.897108,37.14137,-996.8066,0,,,
18564,0.008569567,-0.008709193,0.03389429,0,0,0,-7.731935,37.5323,-996.6509,0,,,
18629,0.00853466,-0.008709193,0.03387684,0,0,0,-4.735951,37.2122,-995.3428,0,,,
18695,0.008552114,-0.008726646,0.0339292,0,0,0,-6.568326,37.3517,-997.0757,0,,,
18760,0.008517207,-0.008726646,0.03398156,0,0,0,-7.954545,37.26973,-996.6509,0,,,
18825,0.0084823,-0.008709193,0.03403392,0,0,0,-8.550131,37.98924,-996.1743,0,,,
18890,0.0084823,-0.008691739,0.03406883,0,0,0,-5.87063,37.11526,-1004.848,0,,,
18955,0.008464847,-0.008604473,0.03408628,0,0,0,-10.05737,37.4799,-996.7676,0,,,
19020,0.008464847,-0.008639379,0.0341561,0,0,0,-8.849569,37.25701,-1003.585,0,,,
19085,0.008464847,-0.008691739,0.034191,0,0,0,-8.172388,37.36045,-1000.159,0,,,
19150,0.008447394,-0.008709193,0.03422591,0,0,0,-7.340457,37.33452,-999.0034,0,,,
19215,0.008447394,-0.008726646,0.03426081,0,0,0,-8.107927,37.32934,-999.9385,0,,,
19280,0.008429941,-0.008744099,0.03429572,0,0,0,-8.087972,37.42623,-996.5581,0,,,
19345,0.00837758,-0.008709193,0.03433063,0,0,0,-3.321977,37.03184,-1001.934,0,,,
19410,0.00837758,-0.008604473,0.03438299,0,0,0,-8.840496,37.3739,-996.6484,0,,,
19475,0.008360127,-0.008639379,0.03441789,0,0,0,-8.024227,37.21484,-1006.746,0,,,
19540,0.008307767,-0.008639379,0.03443535,0,0,0,-0.4893809,36.91003,-1004.737,0,,,
19605,0.008255407,-0.00853466,0.03447025,0,0,0,-8.814471,37.40345,-996.1392,0,,,
19670,0.008342673,-0.00858702,0.03450516,0,0,0,-8.06279,37.12529,-996.6602,0,,,
19735,0.008307767,-0.008604473,0.03454006,0,0,0,-8.085875,37.28172,-1002.651,0,,,
19800,0.008307767,-0.008604473,0.03457497,0,0,0,-9.069221,37.40409,-997.4736,0,,,
19865,0.008307767,-0.008552114,0.03462733,0,0,0,-1.169788,37.43317,-996.5923,0,,,
19930,0.00832522,-0.00832522,0.03464479,0,0,0,-0.15036,37.1046,-996.626,0,,,
19995,0.008342673,-0.00837758,0.03467969,0,0,0,-6.245504,37.27778,-997.3096,0,,,
