Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),Altitude(m),,30 second flight 25/02/16. Flat trim and calibrate before takeoff
18007,0.002635447,0.003735005,0.05319764,-0.0595653,-0.09236633,0,-18.31424,56.35186,-987.6276,0.731,,
18085,0.003089233,0.000296706,0.05202826,-0.04521707,-0.1050804,0,-5.634398,49.44629,-999.4252,0.729,,
18163,0.00275762,-0.003333579,0.05101598,-0.04237411,-0.09475214,0,-5.92037,56.07708,-1002.024,0.73,,
18241,0.005026548,-0.009599311,0.05070182,-0.03597368,-0.08261316,0,-14.46722,56.43646,-1014.11,0.73,,
18319,0.004363323,-0.008011061,0.05087635,-0.03720481,-0.04575546,0,-9.376852,44.32928,-1014.336,0.73,,
18397,0.003543018,-0.000855211,0.0514174,-0.06896019,-0.01561777,0,-2.921219,66.90708,-1015.121,0.732,,
18475,0.002583087,0.004712389,0.05180137,-0.07713991,-0.007202882,0,-6.179005,56.24919,-1016.376,0.735,,
18553,0.002268928,0.005515241,0.05344198,-0.07344385,0.001871871,0,-5.540732,52.5575,-1006.483,0.738,,
18631,-0.000314159,0.000453786,0.05494297,-0.07000616,0.004166104,0,-4.484479,49.27851,-1012.722,0.741,,
18709,-0.00418879,0.000872665,0.05696755,-0.06581491,0.002043977,0,-14.6758,48.91701,-999.2205,0.747,,
18787,-0.005305801,0.00270526,0.05925393,-0.05754212,-0.02299857,0,-16.05872,53.92016,-991.7178,0.753,,
18865,-0.006422812,0.006475172,0.06136578,-0.07832346,-0.07648493,0,-21.60194,54.09785,-981.217,0.76,,
18943,-0.008307767,0.008115781,0.06283185,-0.03540606,-0.1736271,0,-20.81283,56.89524,-976.0303,0.766,,
19021,-0.01144936,0.008831366,0.06415831,0.002204877,-0.2458897,0,-15.25236,52.69524,-974.688,0.769,,
19099,-0.01452114,-0.000628319,0.06588618,-0.03935857,-0.2039568,0,0.8067234,52.44482,-987.3828,0.776,,
19177,-0.01605703,-0.01413717,0.06723008,-0.05125815,-0.1619514,0,-4.4012,55.10012,-986.2827,0.779,,
19255,-0.01612684,-0.03202679,0.06904522,-0.003738619,-0.1570008,0,-6.088252,61.78155,-969.5904,0.785,,
19333,-0.01518436,-0.04255113,0.06981317,-0.04391346,-0.09078127,0,-18.84061,56.48617,-966.9231,0.79,,
19411,-0.01137955,-0.04989896,0.07063347,-0.02343652,-0.07062127,0,-9.037593,57.31574,-967.7089,0.791,,
19489,-0.007923795,-0.05314528,0.07105236,-0.01559268,-0.04079828,0,-10.41496,52.68878,-991.3332,0.784,,
19567,-0.0055676,-0.04754277,0.07164577,0.01632923,-0.02146666,0,-7.809749,56.13201,-976.6136,0.789,,
19645,-0.005235988,-0.03230604,0.07189011,0.01445935,-0.0104063,0,-20.39087,51.16267,-960.2927,0.791,,
19723,-0.004764749,-0.02001893,0.07072074,0.03234106,-0.02168814,0,-21.59404,49.12151,-970.2875,0.794,,
19801,-0.004590216,-0.01663299,0.06969099,0.072571,-0.02257363,0,-32.68553,53.07124,-969.7963,0.781,,
19879,-0.005183628,-0.01183333,0.06822492,0.1009771,-0.02747992,0,-25.9303,52.91115,-997.74,0.776,,
19957,-0.005288348,-0.003804818,0.06597345,0.1669021,-0.077483,0,-18.8241,48.29419,-999.1876,0.768,,
20035,-0.006544985,0.006981317,0.06527531,0.08187033,-0.02254702,0,-32.94022,53.75311,-991.6374,0.762,,
20113,-0.009040806,0.007400196,0.06452482,0.1234552,-0.06167923,0,-23.12965,52.21283,-988.7829,0.757,,
20191,-0.007731808,0.003263766,0.06405359,0.1265526,-0.09419539,0,-29.53597,51.49499,-1009.689,0.751,,
20269,-0.005061455,0.000366519,0.06417575,0.1271746,-0.09238617,0,-23.7114,58.26978,-1010.698,0.752,,
20347,-0.002007129,0.000436332,0.06518804,0.1637719,-0.1244886,0,-30.04782,49.66773,-1004.063,0.746,,
20425,0.000383972,-0.00286234,0.06613053,0.1138069,-0.1148513,0,-17.8109,64.09882,-1021.439,0.742,,
20503,0.006527531,-0.01017527,0.06852163,0.06773964,-0.06382554,0,-16.61913,57.19627,-1015.79,0.741,,
20581,0.01120501,-0.009494592,0.07063347,0.08265647,-0.05572629,0,-20.10549,53.41606,-996.9921,0.737,,
20659,0.01387537,-0.004415683,0.07216937,0.06101413,-0.03258498,0,-15.26025,52.89708,-994.7311,0.74,,
20737,0.01488766,0.000383972,0.07333874,0.06971861,-0.02380627,0,-15.27045,57.23935,-980.9932,0.743,,
20815,0.01331686,0.005096362,0.07436848,0.1343039,-0.04114338,0,-16.94448,55.04017,-974.8201,0.745,,
20893,0.006859144,0.009215338,0.0752935,0.118486,-0.01825727,0,-22.52203,59.82493,-986.4153,0.745,,
20971,-0.000244346,0.007801622,0.07463028,0.1678932,-0.02426417,0,-12.78045,46.78,-991.1959,0.744,,
21049,-0.004136431,0.002792527,0.07400195,0.2032632,-0.03166248,0,-14.25417,49.06237,-998.8282,0.739,,
21127,-0.01310742,0.002076942,0.07285004,0.2073018,-0.01509207,0,-20.3748,52.61357,-1013.142,0.737,,
21205,-0.02483604,-0.000331613,0.07066838,0.30078,-0.06849729,0,-18.54139,37.56115,-1005.198,0.734,,
21283,-0.03387684,-0.003926991,0.06853908,0.3249866,-0.1054603,0,-26.92879,47.53664,-1006.351,0.731,,
21361,-0.03764675,-0.005637414,0.06663667,0.3163159,-0.1320378,0,-24.63266,41.19554,-1017.978,0.728,,
21439,-0.02953097,-0.007295476,0.06524041,0.284228,-0.1446038,0,-17.07332,44.50262,-1024.334,0.73,,
21520,-0.01921607,-0.008447394,0.06335545,0.05284686,-0.1773915,0,-12.18089,57.96485,-1011.103,0.733,,
21595,-0.01073377,-0.007819075,0.06237806,-0.006646615,-0.09311765,0,-15.63457,49.21936,-1000.942,0.739,,
21673,-0.005445427,-0.007208209,0.06166248,0.006070561,-0.06888224,0,-14.229,42.79563,-992.4699,0.738,,
21751,0.004118977,-0.007941248,0.06082472,0.09215011,-0.0672166,0,-21.04477,50.60084,-1007.878,0.741,,
21829,0.0135263,-0.01073377,0.06033603,0.09683576,-0.06663754,0,-22.81359,48.62404,-969.9415,0.748,,
21908,0.01593486,-0.008674286,0.0617672,0.05999223,-0.04634496,0,-9.255699,49.87206,-994.4844,0.748,,
21985,0.01860521,-0.005585053,0.06429793,0.08241529,-0.03618811,0,-20.59982,56.65297,-979.8322,0.751,,
22063,0.01717404,-0.003543018,0.06684611,0.03414586,0.00255741,0,-9.626213,56.50559,-990.7206,0.754,,
22141,0.01279326,-0.002164208,0.06897541,0.04069922,0.01324483,0,-16.73685,54.44879,-993.6239,0.759,,
22219,0.009494592,-0.003001966,0.07014478,0.03748586,0.02566537,0,-24.89945,46.55442,-990.942,0.759,,
22297,0.009791297,-0.009075711,0.07052875,0.0119116,0.0411451,0,-23.74362,59.96056,-1005.036,0.76,,
22375,0.008098328,-0.02377138,0.06981317,0.01878988,0.04423692,0,-21.69977,49.80446,-997.0222,0.764,,
22453,0.004101524,-0.03719297,0.06841691,0.04418218,0.06432023,0,-21.01791,44.09947,-987.9692,0.766,,
22531,0.002251475,-0.04541347,0.06693338,0.0744094,0.05153852,0,-19.57706,45.85828,-980.2388,0.766,,
22609,0.004066617,-0.04893903,0.06503097,0.0501602,-0.01642866,0,-26.36529,46.22409,-966.5146,0.77,,
22687,0.001902409,-0.03858923,0.06302384,0.03922822,0.02087174,0,-31.0852,37.87529,-977.2296,0.771,,
22765,-0.003298672,-0.0225322,0.06194174,0.0432946,0.01189143,0,-24.78417,45.12078,-983.7673,0.771,,
22843,-0.004049164,-0.0153589,0.0601964,0.03505632,0.04163159,0,-29.67766,38.49934,-975.9964,0.772,,
22921,0.002548181,-0.01144936,0.05942846,0.05133224,0.03898112,0,-36.37249,48.45814,-986.3089,0.773,,
22999,0.007714355,-0.007295476,0.05784021,0.03594829,0.01975154,0,-34.03718,42.0495,-996.4069,0.769,,
23077,0.006562438,-0.002216568,0.05424483,0.03657287,0.04855885,0,-41.86023,47.94939,-995.3417,0.764,,
23155,0.001954769,0.001134464,0.05120796,0.02489063,0.05666965,0,-38.27037,47.62874,-991.2352,0.759,,
23233,0.005689773,0.006161012,0.04646066,0.01305651,0.09951573,0,-32.5424,52.38751,-999.302,0.758,,
23311,0.007836528,0.009162978,0.04148648,0.007425713,0.09024613,0,-25.40299,43.4925,-1025.436,0.752,,
23389,0.008639379,0.005113815,0.03618068,0.004372613,0.05739101,0,-31.14836,40.04237,-1020.128,0.747,,
23467,0.007819075,-0.001553343,0.03122394,-0.006333162,0.05499075,0,-30.39875,45.98977,-1028.2,0.747,,
23545,0.004031711,-0.009477138,0.02724459,-0.006304063,0.05557062,0,-29.35649,40.73666,-1019.728,0.748,,
23623,-0.005969026,-0.0150971,0.02438225,0.01601731,0.0458021,0,-22.01402,34.22105,-1019.54,0.747,,
23701,-0.01638864,-0.01729621,0.02179916,0.02541292,0.02623668,0,-28.71422,31.48413,-1014.227,0.751,,
23779,-0.01843068,-0.01581268,0.0198793,0.02345414,0.01541035,0,-22.79037,30.7264,-1022.476,0.754,,
23857,-0.0172264,-0.01293289,0.01877974,0.01177461,0.01207711,0,-26.5993,41.66917,-1016.858,0.758,,
23935,-0.02106612,-0.008237954,0.01761037,0.003087037,0.004506418,0,-35.40611,39.51691,-996.2264,0.766,,
24013,-0.03380703,-0.004974188,0.01673771,-0.01545018,-0.06771643,0,-30.37634,37.05729,-980.7466,0.773,,
24091,-0.04392993,-0.005148721,0.0156556,0.01633655,-0.1340408,0,-36.90694,33.8917,-962.2379,0.787,,
24169,-0.05180137,-0.007243116,0.01474803,0.02609038,-0.1764892,0,-32.63391,27.02043,-962.5071,0.792,,
24247,-0.05333726,-0.00567232,0.01403245,0.02225949,-0.1092446,0,-40.95678,39.89879,-960.8958,0.802,,
24325,-0.05213298,-0.002286381,0.01469567,0.01253291,-0.3477837,0,-31.60427,43.67223,-956.6252,0.805,,
24403,-0.04982915,0.003892084,0.01553343,0.0115266,-0.435948,0,-36.61915,46.86792,-964.5592,0.803,,
24481,-0.04382522,0.01019272,0.01637119,0.01086154,-0.3289791,0,-31.54643,57.68568,-973.4515,0.802,,
24559,-0.03256784,0.006527531,0.01832596,0.00973859,-0.1910816,0,-25.6899,59.00099,-975.5804,0.801,,
24637,-0.02151991,-0.001902409,0.02172935,0.03819095,-0.25623,0,-24.73322,63.00922,-986.0956,0.799,,
24715,-0.006789331,-0.006475172,0.02818707,0.0239995,-0.1579591,0,-30.27226,58.72544,-1002.507,0.791,,
24793,0.00970403,-0.006719518,0.03656465,-0.009884381,-0.1805373,0,-27.16049,66.90819,-994.7662,0.785,,
24871,0.02640683,-0.00593412,0.04785693,-0.01513878,-0.2889066,0,-27.65154,78.43276,-1008.391,0.78,,
24949,0.02989749,-0.002443461,0.05881759,0.09821811,-0.3500472,0,-8.622101,71.4613,-1000.6,0.785,,
25028,0.02771583,0.003508112,0.06895795,0.06707092,-0.3317108,0,-13.07245,76.65636,-963.4308,0.782,,
25105,0.02251475,0.006091199,0.07490953,0.03264188,-0.2788514,0,-19.74754,65.53924,-968.219,0.769,,
25183,0.0169646,0.007644542,0.08155923,-0.004364501,-0.2334358,0,-15.77288,83.76753,-990.5776,0.761,,
25261,0.02111848,0.009337512,0.08515462,-0.01384581,-0.205838,0,-23.50962,80.92044,-999.9655,0.754,,
25339,0.02635447,0.008744099,0.08798204,-0.0204835,-0.1790074,0,-11.79969,75.31017,-990.5609,0.746,,
25417,0.02520255,0.006597344,0.08995426,-0.01642786,-0.1480511,0,-16.86719,62.72768,-1002.058,0.74,,
25495,0.01820378,0.000314159,0.09124582,-0.01734757,-0.09725581,0,-14.65766,70.93328,-997.6653,0.734,,
25573,0.01473058,-0.007766715,0.09185668,-0.009865861,-0.08648938,0,-7.671443,69.16963,-969.7686,0.74,,
25651,0.01881465,-0.01048943,0.09159488,-0.002477054,-0.0545891,0,-18.70185,68.92133,-1005.27,0.727,,
25729,0.02021091,-0.01104793,0.09201375,-0.000972907,-0.03649855,0,-13.84632,68.077,-1005.823,0.721,,
25807,0.02026327,-0.01118756,0.0919614,0.000787096,-0.03073301,0,-9.625364,67.8259,-1008.093,0.721,,
25885,0.02015855,-0.01136209,0.09229301,0.005264389,-0.02477249,0,-6.703394,71.56988,-1009.954,0.719,,
25963,0.02021091,-0.0111352,0.09204867,0.01256666,-0.01805046,0,-12.1939,62.04404,-1011.216,0.717,,
26041,0.02021091,-0.0111352,0.09224065,0.016637,-0.0157811,0,-7.116366,67.06059,-1014.922,0.717,,
26119,0.004049164,0.004694935,0.09459685,0.0953889,0.06802614,0,-11.11203,54.00641,-987.4583,0.709,,
26197,0.004276057,0.005480334,0.09791297,0.1058491,0.06883056,0,-13.78689,48.71406,-987.6156,0.708,,
26275,0.009529497,0.005689773,0.1016131,0.08882888,0.098368,0,-16.82247,62.27967,-1011.192,0.706,,
26353,0.01446878,0.006422812,0.1056273,0.09488003,0.1115457,0,-18.2696,54.23465,-1013.58,0.704,,
26431,0.01703441,0.008988446,0.1085071,0.09864884,0.1206002,0,-26.82163,54.33027,-1022.117,0.701,,
26509,0.009512044,0.008255407,0.1102524,0.1464518,0.06381787,0,-24.35963,46.7337,-1029.864,0.7,,
26587,0.001954769,0.009407324,0.1112298,0.1928436,-0.01158709,0,-14.19871,45.94373,-1028.53,0.697,,
26665,0.002234021,0.01111775,0.111352,0.2008281,-0.05267549,0,-25.04019,62.52876,-1023.987,0.697,,
26743,0.001396263,0.007976155,0.1117185,0.2296636,-0.09067962,0,-17.17774,40.67731,-1033.377,0.701,,
26821,-0.003525565,-0.001413717,0.1114742,0.2155318,-0.08857692,0,-13.22763,41.38067,-1019.616,0.713,,
26899,-0.003019419,-0.008709193,0.1117011,0.2634882,-0.07013383,0,-22.14585,48.14927,-1004.627,0.719,,
26977,0.001972222,-0.01094321,0.1106888,0.1128731,0.06066186,0,-30.07448,45.29607,-981.5426,0.73,,
27055,0.004363323,-0.009878563,0.1090133,0.04023875,0.04913247,0,-25.36046,50.30521,-974.8234,0.743,,
27133,0.005009095,-0.006824237,0.1062556,0.01358099,0.09799445,0,-19.84538,51.18815,-969.7621,0.753,,
27210,0.007470009,-0.004852015,0.1038122,0.005350118,0.09225941,0,-31.76461,47.10686,-965.3403,0.762,,
27289,0.004799656,-0.00429351,0.1011942,-0.01133534,0.1169474,0,-22.07075,58.31709,-956.5069,0.767,,
27367,-0.007819075,-0.006003933,0.09793042,-0.01235219,0.06282219,0,-15.73794,54.4695,-967.4694,0.78,,
27445,-0.02614503,-0.01089085,0.09491101,-0.02696366,-0.03299158,0,-25.96189,37.0534,-957.0848,0.786,,
27522,-0.04019493,-0.0161792,0.09190904,7.26E-05,0.03521958,0,-29.29449,40.24252,-972.6108,0.787,,
27600,-0.04834562,-0.0214501,0.087441,0.0029848,0.01460482,0,-27.36953,55.60638,-973.1007,0.788,,
27679,-0.04949754,-0.02645919,0.082397,0.008136174,0.04698428,0,-22.46372,49.00279,-981.1475,0.789,,
27757,-0.04769985,-0.03035128,0.0758171,0.02073516,0.1125775,0,-25.24206,53.1053,-979.8725,0.794,,
27834,-0.04487242,-0.02968805,0.06885324,0.04069014,0.05204942,0,-20.44694,52.68252,-975.981,0.794,,
27913,-0.0421497,-0.02595305,0.06045821,0.03324889,0.09625773,0,-28.7171,46.74939,-1000.03,0.787,,
28008,-0.03377212,-0.0209265,0.0543321,0.02893942,0.1143357,0,-31.25683,41.88175,-998.9298,0.787,,
28084,-0.0167028,-0.01555088,0.04502949,0.03418249,0.03760872,0,-24.56616,57.3842,-1010.507,0.78,,
28162,-0.006946411,-0.01172861,0.03639011,0.008330005,0.04110345,0,-30.72601,54.09518,-1006.037,0.781,,
28240,-0.005061455,-0.008831366,0.02928662,0.01374193,0.0451772,0,-28.92136,51.42031,-1003.693,0.775,,
28318,-0.01424189,-0.00296706,0.0214501,0.02858083,0.02930761,0,-29.6396,48.58329,-1010.13,0.772,,
28396,-0.02471386,0.00020944,0.01340413,0.0357477,0.03405523,0,-32.94049,52.98465,-1010.03,0.772,,
28474,-0.02663372,0.000261799,0.006422812,0.01918966,-0.00068584,0,-21.94792,45.93959,-1003.336,0.773,,
28552,-0.02661627,-0.001640609,0.001448623,0.03475684,-0.06492187,0,-31.55726,51.87229,-1009.137,0.775,,
28630,-0.02696534,-0.004450589,-0.001658063,0.05529431,-0.03284794,0,-23.42756,48.84095,-1004.563,0.775,,
28708,-0.02740167,-0.003926991,-0.004834562,0.05122716,-0.113609,0,-30.82822,48.88227,-993.8938,0.78,,
28786,-0.02501057,-0.002548181,-0.007627089,0.05820522,-0.05237337,0,-30.21718,48.2925,-984.6826,0.792,,
28864,-0.02361431,-0.00270526,-0.009913471,0.0814603,-0.03261393,0,-30.26169,49.78241,-959.9254,0.803,,
28942,-0.02656391,-0.000488692,-0.01125737,0.05356773,-0.06557046,0,-27.49154,45.87873,-963.0075,0.806,,
29020,-0.02761111,0.00296706,-0.01130973,0.04095964,-0.0698864,0,-28.09692,46.53809,-955.9063,0.816,,
29098,-0.02427753,0.006719518,-0.0108734,0.02630569,-0.07565013,0,-21.30697,63.42125,-971.598,0.814,,
29176,-0.02167699,0.007923795,-0.009599311,0.01368889,-0.1358512,0,-14.68973,54.47456,-989.6481,0.811,,
29254,-0.01684243,0.007522369,-0.006283185,0.007242015,-0.201484,0,-24.19751,68.44041,-997.722,0.804,,
29332,-0.01059415,0.007888888,-0.002111848,0.00442586,-0.2300287,0,-22.04573,69.64436,-1008.852,0.8,,
29410,0.001204277,0.007539823,0.0029147,0.003827909,-0.1619084,0,-25.22823,74.02573,-1030.764,0.799,,
29489,0.00424115,0.003490658,0.008290314,0.00561113,-0.1499365,0,-28.06853,71.61652,-1011.819,0.799,,
29567,0.000890118,0.000349066,0.01366593,-0.0155476,-0.1951612,0,-30.24634,68.77222,-992.6605,0.803,,
29645,-0.003508112,0.00015708,0.01858776,-0.005042167,-0.2889385,0,-27.00167,66.23447,-970.6061,0.811,,
29723,-0.004852015,0.002740167,0.02289872,0.003966442,-0.2513878,0,-31.46514,69.54832,-959.0134,0.811,,
29801,-0.003909538,0.004136431,0.02686062,-0.01685199,-0.08869643,0,-23.83729,69.83432,-964.0616,0.814,,
29879,-0.001727876,0.003700098,0.02864085,-0.02988777,-0.1745527,0,-18.98971,65.13318,-966.8558,0.813,,
29957,0.00153589,0.005811946,0.02949606,-0.04708763,-0.295538,0,-31.57665,59.93129,-979.0956,0.813,,
