Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),Altitude(m),,30 second flight 25/02/16. Flat trim and calibrate before takeoff
4121,0.000244346,-0.000802852,0.01225221,0,0,0,-30.10325,46.46599,-988.4346,0,,
4199,0.000279253,-0.000942478,0.01226966,0,0,0,-31.50336,46.5756,-988.0605,0,,
4277,0.000244346,-0.000959931,0.01225221,0,0,0,-30.11019,46.58103,-988.8804,0,,
4355,0.000226893,-0.001186824,0.01230457,0,0,0,-30.92605,46.62817,-982.1016,0,,
4433,0.000244346,-0.001186824,0.01235693,0,0,0,-22.77105,46.19251,-989.1196,0,,
4511,0.000226893,-0.001047197,0.01235693,0,0,0,-23.16259,46.14165,-986.9487,0,,
4589,0.00020944,-0.000925025,0.01239184,0,0,0,-26.54714,48.05809,-981.0981,0,,
4667,0,-0.000820305,0.0124442,0,0,0,-23.49316,45.48577,-987.9248,0,,
4745,-8.73E-05,-0.000820305,0.0124791,0,0,0,-29.84345,53.65675,-988.896,0,,
4823,-0.00010472,-0.000872665,0.0124791,0,0,0,-23.32879,46.14957,-988.2754,0,,
4901,-8.73E-05,-0.000890118,0.0124791,0,0,0,-23.71029,46.2331,-987.2651,0,,
4979,-0.000122173,-0.000820305,0.01246165,0,0,0,-23.22197,46.57647,-989.0508,0,,
5057,-8.73E-05,-0.000715585,0.0124791,0,0,0,-24.72138,46.31494,-988.9053,0,,
5135,-6.98E-05,-0.000715585,0.01249656,0,0,0,-30.9641,46.54394,-988.9102,0,,
5213,0,-0.000855211,0.01260128,0,0,0,-30.5367,48.15785,-981.1299,0,,
5291,5.24E-05,-0.000890118,0.01260128,-0.000247992,-0.000339192,0,-28.45543,46.56146,-990.3511,0,,
5369,6.98E-05,-0.000855211,0.01265364,-0.000235111,-0.000146075,0,0,0,0,0,,
5447,3.49E-05,-0.000750492,0.01267109,0.000537882,0.000341745,0,-23.4378,45.40127,-989.5049,0,,
5525,0.00010472,-0.000558505,0.012706,0.000781257,-0.000118222,0,-26.61798,46.33111,-988.2729,0,,
5603,0.00010472,-0.000349066,0.01275836,0.000778786,-0.000138182,0,-23.20817,46.2269,-989.1025,0,,
5681,0.000139626,-0.00020944,0.01279326,0.000556231,-0.000102163,0,-22.87671,46.1374,-988.8711,0,,
5759,0.000139626,-0.000122173,0.01282817,0.000184969,0.000112324,0,-28.20784,51.44609,-983.001,0,,
5837,-0.000349066,-0.000244346,0.01281072,-0.000305047,0.00033304,0,-33.31433,42.84793,-991.9902,0,,
5916,-0.000453786,-0.000820305,0.01302016,0.000416345,0.000564804,0,-28.07258,55.81032,-977.2505,0,,
5993,-0.000523599,-0.000628319,0.01272345,0.000692464,0.000567465,0,-19.92743,53.98149,-994.7284,0,,
6071,-0.000610865,-0.000645772,0.01284562,0.00015235,-0.000289548,0,-22.87487,42.55378,-986.415,0,,
6149,-0.000418879,-0.000698132,0.01281072,-0.000272914,-0.000255519,0,-28.63433,50.21732,-989.0112,0,,
6227,-0.000610865,-0.000715585,0.01279326,-4.27E-05,6.69E-05,0,-28.78224,55.39311,-978.4761,0,,
6305,-0.000680678,-0.000767945,0.01295034,-0.000208611,0.000360636,0,-32.33502,52.86817,-982.4883,0,,
6384,-0.000680678,-0.001134464,0.01298525,-0.000107515,-0.000352949,0,-30.55121,49.6785,-988.1309,0,,
6461,-0.000785398,-0.001343903,0.01291544,-4.28E-05,-5.47E-05,0,-37.92211,53.45311,-972.2813,0,,
6539,-0.000785398,-0.001169371,0.01302016,0.000673658,-0.0004346,0,-39.48508,44.65204,-976.9048,0,,
6617,-0.000610865,-0.00127409,0.01302016,0.000597056,-0.000357992,0,-32.26486,49.89939,-985.8583,0,,
6695,-0.000593412,-0.000977384,0.01321214,0.000437868,0.000129926,0,-40.5841,47.50377,-988.6085,0,,
6773,-0.000226893,-0.000942478,0.01295034,0.000572047,-0.000675409,0,-23.63308,48.04598,-986.6645,0,,
6851,-6.98E-05,-0.000820305,0.01310742,-4.01E-05,-0.000236786,0,-38.7475,52.51778,-987.8057,0,,
6929,-0.000226893,-0.000959931,0.01315978,0.000560952,2.90E-05,0,-12.76045,53.48196,-987.7026,0,,
7007,-0.000244346,-0.000453786,0.01307252,0.000727986,-1.45E-05,0,-14.37636,52.18068,-981.8129,0,,
7085,-0.000279253,-0.000261799,0.01329941,-0.000463927,0.000163222,0,-45.13909,54.79668,-977.9238,0,,
7163,-3.49E-05,-1.75E-05,0.01345649,0.000735716,0.000218298,0,-10.96445,53.9818,-1002.221,0,,
7241,-0.00010472,-0.000349066,0.01368338,0.000247542,0.000202397,0,-47.77824,55.84081,-980.389,0,,
7320,8.73E-05,-0.000349066,0.01340413,0.00134168,0.000166084,0,-31.15612,60.80865,-981.1273,0,,
7397,0.000226893,-0.000296706,0.01371829,0.000846871,0.000589626,0,-16.91382,54.35747,-996.5261,0,,
7475,0.000383972,-0.000698132,0.01356121,-0.000307848,-6.01E-05,0,-29.73269,41.20906,-993.1089,0,,
7553,0.000855211,-0.001518436,0.01391027,-0.000240268,0.000453268,0,-29.47122,53.64339,-976.3003,0,,
7631,0.000872665,-0.001029744,0.01385792,-0.000174959,0.000752182,0,-33.09682,54.54922,-986.7498,0,,
7709,0.000610865,-0.00143117,0.01438151,2.29E-06,0.000791675,0,-34.44295,52.65984,-984.2483,0,,
7787,0.000785398,-0.002286381,0.0143117,0.000496958,0.000213386,0,-14.86275,44.16847,-982.7936,0,,
7865,0.000715585,-0.002042035,0.01420698,0.00061656,0.001210494,0,-14.64185,57.71818,-1006.507,0,,
7943,0.000994838,-0.004677482,0.01593486,0.001108333,0.001517376,0,-44.42775,58.00753,-985.3195,0,,
8021,0.000575959,-0.01633628,0.01926843,0.000645664,0.000269192,0,-54.60071,53.13758,-1034.128,0,,
