Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),,,Yaw(degrees)
17277,-0.009843657,-0.005375614,1.80022,0.1308203,0.514834,0,-8.226642,28.46383,-906.5295,,,103.1450082
17355,0.006283185,-0.005899213,1.801948,0.1670341,0.5210176,0,-11.39048,36.30791,-946.7115,,,103.2440153
17433,0.01919862,-0.007696902,1.803676,0.1949541,0.5599785,0,6.942311,27.29065,-946.2185,,,103.3430224
17511,0.02865831,-0.005288348,1.804147,0.2273179,0.603365,0,0,0,0,,,103.3700087
17589,0.03169518,0.001134464,1.805054,0.2514803,0.6556554,0,8.812012,19.94818,-1015.217,,,103.421976
17667,0.03129375,0.008342673,1.80474,0.3029568,0.7420939,0,-3.19848,28.26028,-1004.733,,,103.4039851
17745,0.02769838,0.01190315,1.803867,0.222683,0.6869056,0,-19.8914,12.00489,-1003.154,,,103.3539659
17824,0.02490585,0.01127483,1.802471,0.07993054,0.4848755,0,-8.189448,28.97094,-1008.08,,,103.273981
17901,0.02542945,0.005288348,1.801476,0.05117385,0.5087385,0,-3.911599,25.37869,-1010.517,,,103.2169717
17979,0.02546435,-0.001989675,1.800918,0.04156417,0.4004796,0,-1.058591,20.5596,-998.7683,,,103.1850006
18073,0.02647664,-0.005864306,1.799958,0.04008315,0.3898534,0,-1.823332,20.46127,-991.2498,,,103.1299967
18150,0.02747148,-0.006230825,1.797672,0.02081482,0.3023006,0,-8.028666,32.42116,-971.8754,,,102.9990185
18231,0.02197369,-0.005427974,1.794425,0.02546361,0.3002041,0,0.1007485,14.9965,-976.2843,,,102.8129792
18306,0.01645846,-0.003089233,1.789224,0.03048866,0.2933004,0,9.1723,32.24113,-986.59,,,102.5149838
18385,0.01179843,-0.002583087,1.78158,0.01480231,0.239508,0,-1.036755,28.83174,-978.2971,,,102.0770149
18464,0.01048943,-0.002408554,1.777025,0.01582143,0.2291405,0,2.454312,30.5026,-984.4661,,,101.8160326
18541,0.005026548,-0.003351032,1.769572,0.01376572,0.2181127,0,7.053574,13.6789,-977.0151,,,101.3890071
18618,-8.73E-05,-0.002007129,1.763149,0.01532236,0.08918922,0,11.98794,12.38176,-961.8729,,,101.0209964
18699,-0.002548181,-0.000261799,1.756709,0.01592118,-0.09010669,0,5.269567,31.14563,-983.5193,,,100.6520115
18774,-0.001762783,0.000767945,1.750129,0.02197841,-0.09545993,0,-1.414244,31.93058,-977.2284,,,100.2750053
18853,-0.001902409,-0.002722714,1.745259,0.02906089,-0.09138394,0,-0.07990289,24.05583,-985.589,,,99.99597486
18930,0.001064651,-0.003874631,1.741734,0.03598357,-0.08315047,0,1.19388,36.97826,-976.0092,,,99.79400723
19009,-0.000436332,-0.005183628,1.738086,0.02899445,-0.06916956,0,3.593636,33.37592,-991.9388,,,99.58499223
19086,-0.004328417,-0.009738938,1.735346,0.03017475,-0.03846044,0,2.636941,27.23219,-989.1937,,,99.42800179
19165,-0.00593412,-0.01567306,1.733269,0.03824254,-0.01103504,0,5.040506,38.40963,-1016.629,,,99.30899846
19243,-0.008604473,-0.02167699,1.732135,0.08857488,0.000463451,0,-0.5883392,24.90607,-1024.166,,,99.24402505
19321,-0.0108734,-0.02487094,1.73306,0.1899895,0.001960255,0,-1.202793,19.42967,-1018.193,,,99.29702364
19399,-0.002775073,-0.0341561,1.733618,0.2042,-0.004581018,0,-11.78324,53.59872,-1004.551,,,99.32899469
19477,0.005742133,-0.0495499,1.736184,0.1708462,-0.04579325,0,-12.67195,58.56737,-1038.04,,,99.47601566
19555,0.01624902,-0.05166174,1.738959,-0.003268589,-0.01199957,0,17.07518,28.12361,-1190.995,,,99.63501145
19633,0.02169444,-0.00561996,1.731524,0,0,0,-229.5614,-67.96159,-1227.271,,,99.20901733
19710,0.02047271,-0.008813913,1.732606,0,0,0,-115.567,96.76308,-994.4764,,,99.27101136
19789,0.01980949,-0.009162978,1.732868,0,0,0,-11.74775,42.22826,-964.4172,,,99.28602285
19867,0.01860521,-0.009512044,1.733007,0,0,0,-7.789474,46.68312,-980.688,,,99.29398697
19945,0.01778491,-0.01001819,1.732885,0,0,0,-14.27488,47.22596,-987.0414,,,99.28699688
