Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),Altitude(m),,,Short flight 21/02/2017
3124,0.002879793,-0.001745329,0.0622908,0.000211871,0.001324099,0,-6.592216,44.14019,-992.2465,0,,,
3189,0.002687807,-0.001466077,0.06258751,0.000821495,0.000326524,0,-3.842786,32.56775,-996.7913,0,,,
3254,0.00312414,-0.000925025,0.0630762,0.001859218,0.0014027,0,9.846688,42.12231,-996.3078,0,,,
3319,0.003438299,-0.001396263,0.06316347,0.000619077,0.001424868,0,4.413989,37.87223,-995.5871,0,,,
3384,0.003769911,-0.001727876,0.06377433,0.000808564,0.001428879,0,-6.568764,32.69469,-997.1962,0,,,
3449,0.003490658,-0.003892084,0.0655022,-0.00019228,0.000936292,0,-11.27138,28.17978,-981.5013,0,,,
3514,0.004537856,-0.006091199,0.07021459,0.000746165,0.001588968,0,-8.29748,42.15401,-1009.168,0,,,
3579,0.00429351,-0.008918632,0.07513642,0.00102345,0.000342626,0,-29.78696,28.99784,-1005.771,0,,,
3644,0.006614798,-0.01794199,0.08297296,0.004272567,-0.001750697,0,0,0,0,0,,,
3709,0.006161012,-0.03038618,0.09145525,0.008723143,-0.000670694,0,-14.18083,17.92944,-1054.897,0,,,
3774,0.009267699,-0.03895575,0.1015956,0.01522911,-0.000116618,0,-14.78683,14.50836,-1067.514,0,,,
3839,0.002042035,-0.04284783,0.1082628,0.02007195,-0.00095642,0,-7.251744,14.17763,-1005.938,0,,,
3904,-0.01333432,-0.02918191,0.1155582,0.02067405,-0.004008602,0,13.43587,31.49203,-997.0011,0,,,
3970,-0.02036799,-0.01207768,0.1228014,0.01276567,-0.007007144,0,10.36973,46.52537,-1034.267,0,,,
4035,-0.02382374,-0.004206243,0.1289449,0.006657053,-0.008335027,0,2.507202,33.99532,-1024.416,0,,,
4100,-0.01832596,-0.000401426,0.1323658,0.003793579,-0.008362511,0,8.776433,36.85856,-1031.607,0,,,
4165,-0.01282817,0.003246312,2.026886,0.000140018,-0.005117791,0,-17.48056,45.98982,-1044.823,0.24,,,
4230,-0.0182736,0.005096362,2.025036,0.1547012,-0.125982,0,7.1234,51.45407,-1244.214,0.245,,,
4295,-0.02141519,0.008098328,2.02542,0.195626,-0.1176664,0,-10.45775,23.38921,-1288.541,0.271,,,
4360,-0.02399828,0.005270894,2.027427,0.1217386,-0.08090493,0,10.61815,30.1201,-1322.17,0.25,,,
4425,-0.02843141,0.008429941,2.032541,0.02757236,-0.1062809,0,10.00261,21.9203,-1321.054,0.279,,,
4490,-0.02616248,0.01497492,2.039138,0.04700325,-0.1623928,0,50.75309,91.13734,-1289.402,0.299,,,
4555,-0.02197369,0.02408554,2.046922,0.1505943,-0.1595791,0,-51.79765,13.14925,-1134.467,0.355,,,
4620,-0.01966986,0.02476622,2.045334,0.1779465,-0.1275314,0,-28.52942,39.09438,-1032.274,0.424,,,
4685,-0.0201411,0.02713987,2.042594,0.1581159,-0.2066185,0,-28.22392,44.14098,-925.4183,0.504,,,
4750,-0.02031563,0.02729695,2.038632,0.09272201,-0.2479676,0,-26.02176,56.06335,-567.0345,0.583,,,
4815,-0.02087414,0.02424262,2.03371,0.05462866,-0.203023,0,0,0,0,0.64,,,
4880,-0.01877974,0.0198793,2.02905,0.02325053,-0.1232111,0,-16.61168,64.86493,-524.3486,0.698,,,
4945,-0.01411971,0.01776745,2.024163,0.01420224,-0.2149228,0,-7.480387,55.20687,-539.4597,0.734,,,
5010,-0.008098328,0.01692969,2.020288,0.0181419,-0.2374923,0,-1.223061,53.83981,-616.259,0.758,,,
5099,-0.003700098,0.01630137,2.016449,0.03396184,-0.2472962,0,-4.624987,58.44427,-706.7219,0.774,,,
5164,-0.000890118,0.01485275,2.014826,0.02832088,-0.2888343,0,1.119003,69.61649,-816.1464,0.754,,,
5250,-0.000401426,0.01399754,2.014215,0.01991784,-0.2687017,0,5.422693,55.73102,-896.1813,0.737,,,
5315,-0.000436332,0.01338668,2.014878,0.01137457,-0.312424,0,14.03718,59.5409,-1045.238,0.68,,,
5380,-0.002583087,0.02000147,2.016588,0.005755596,-0.2834553,0,14.62632,58.01923,-1181.601,0.65,,,
5445,-0.00439823,0.0318348,2.018159,0.002907263,-0.2225709,0,10.05822,53.76358,-1259.571,0.609,,,
5510,-0.007819075,0.03768166,2.019695,-0.005275811,-0.266572,0,15.3703,48.99545,-1256.048,0.594,,,
5575,-0.01111775,0.0381878,2.020533,-0.01474371,-0.2523883,0,6.93032,41.06817,-1231.355,0.57,,,
5640,-0.01387537,0.03420845,2.020638,-0.03675381,-0.2351887,0,15.50599,46.50423,-1181.548,0.56,,,
5705,-0.01429425,0.02638938,2.02048,-0.04563462,-0.2092355,0,22.0924,64.22439,-1111.073,0.566,,,
5770,-0.01347394,0.02377138,2.020533,-0.05075549,-0.2246206,0,22.30127,55.9616,-1051.712,0.574,,,
5836,-0.01151917,0.02717478,2.020829,-0.05224701,-0.2168191,0,17.62118,64.49378,-995.1173,0.589,,,
5901,-0.009093165,0.02614503,2.021091,-0.05565268,-0.2119632,0,16.56816,56.58263,-951.0433,0.606,,,
5966,-0.007295476,0.02207842,2.020917,-0.06078602,-0.2022209,0,17.07016,56.55419,-937.8777,0.617,,,
6031,-0.006143559,0.01727876,2.020638,-0.07147963,-0.1913277,0,11.11567,55.12713,-942.6012,0.63,,,
6096,-0.005899213,0.0122173,2.019939,-0.07192475,-0.1917293,0,21.58273,58.05587,-947.0856,0.635,,,
6161,-0.006981317,0.008237954,2.019538,-0.06791144,-0.2109782,0,16.39302,57.80996,-952.2023,0.64,,,
6226,-0.006928958,0.006143559,2.019259,-0.06581599,-0.2200482,0,13.64743,50.41294,-971.1659,0.645,,,
6291,-0.001047197,0.005515241,2.018665,-0.05550811,-0.2032231,0,14.51841,61.49561,-985.6724,0.647,,,
6356,0.003909538,0.003700098,2.018299,-0.0525775,-0.1853346,0,31.13343,61.57832,-976.5315,0.65,,,
6421,0.003403392,0.002984513,2.017932,-0.0519359,-0.1979884,0,29.31092,60.06425,-987.6086,0.656,,,
6486,0.000453786,0.002286381,2.017199,-0.04402053,-0.1767864,0,19.31067,55.28129,-977.3769,0.659,,,
6551,-0.002949606,0.001727876,2.016536,-0.01732656,-0.2217728,0,13.95539,55.05481,-962.9679,0.665,,,
6616,-0.006527531,0.000872665,2.016169,-0.01387739,-0.2723981,0,11.95863,57.5104,-963.2996,0.672,,,
6681,-0.008709193,0.002024582,2.015628,-0.0190264,-0.1913778,0,10.55561,53.12761,-1030.02,0.655,,,
6746,-0.01033235,0.006579891,2.016187,-0.0145267,-0.1609383,0,19.98939,49.6947,-1024.139,0.655,,,
6811,-0.01216495,0.01481785,2.016065,-0.01622644,-0.1585624,0,8.763329,48.88103,-1012.398,0.655,,,
6876,-0.01329941,0.0183085,2.016222,-0.01969783,-0.2023602,0,10.14917,49.95643,-988.1546,0.66,,,
6941,-0.01356121,0.01736603,2.01582,-0.02801783,-0.1906655,0,15.45552,56.82943,-974.3628,0.664,,,
7006,-0.01438151,0.01424189,2.015454,-0.02396473,-0.1807599,0,16.38712,50.92741,-1010.844,0.656,,,
7092,-0.01436406,0.01158899,2.015454,-0.02041078,-0.2237989,0,20.53704,52.68072,-1017.143,0.66,,,
7157,-0.01314233,0.009110619,2.015489,-0.02165788,-0.1792526,0,15.75042,46.59761,-970.0063,0.658,,,
7222,-0.0105767,0.01130973,2.015262,-0.02263106,-0.1561376,0,14.94836,49.99046,-913.871,0.656,,,
7287,-0.01127483,0.01521927,2.014843,-0.01506204,-0.1715458,0,11.93218,53.35847,-944.4922,0.652,,,
7352,-0.01267109,0.01469567,2.014337,-0.01301794,-0.1937785,0,11.65472,45.28147,-957.4965,0.649,,,
7417,-0.01413717,0.01281072,2.013848,-0.02533077,-0.2234662,0,14.71551,52.86811,-967.7231,0.644,,,
7482,-0.01427679,0.0103498,2.013429,-0.02075745,-0.1703394,0,20.81446,52.53309,-982.5463,0.635,,,
7547,-0.01335177,0.01396263,2.012941,-0.01760554,-0.1645747,0,11.94592,47.42293,-993.4031,0.63,,,
7612,-0.01302016,0.0180118,2.01233,-0.01836265,-0.155184,0,6.285799,52.46254,-984.939,0.622,,,
