Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),Altitude(m),,,Short flight 21/02/2017
15117,0.04852015,0.000279253,1.995156,0.01584516,0.05240409,0,9.63624,31.45852,-998.978,0.737,,,
15182,0.05075417,0.001815142,1.994213,0.01619123,0.06700077,0,11.78214,30.10511,-1001.573,0.734,,,
15247,0.05113815,0.001867502,1.993114,0.01089606,0.07251449,0,10.97361,22.05781,-998.0312,0.734,,,
15312,0.04963716,0.000785398,1.99184,0.008315396,0.09295689,0,14.96121,13.99686,-1016.706,0.735,,,
15377,0.04359832,0.000488692,1.991299,0.01436078,0.1212345,0,12.77502,26.19374,-996.414,0.734,,,
15442,0.03150319,0.001692969,1.991159,0.01938328,0.1329697,0,-0.8844781,25.43558,-984.0187,0.735,,,
15507,0.01862266,0.0026529,1.991333,0.01993746,0.1336858,0,6.42518,15.9973,-995.5431,0.737,,,
15572,0.009337512,0.002181662,1.99149,0.02493224,0.130099,0,11.70914,16.643,-992.0383,0.74,,,
15637,0.00153589,0.001413717,1.991717,0.009623437,0.1302205,0,7.73439,17.66794,-990.9269,0.74,,,
15702,-0.001204277,-0.000418879,1.992381,0.009783586,0.1207633,0,12.5905,23.94713,-983.5513,0.74,,,
15767,0.000750492,-0.003385939,1.993236,0.009697428,0.1128203,0,11.65725,17.67528,-989.2045,0.74,,,
15836,0.0029147,-0.004677482,1.994667,0.01485764,0.1075446,0,13.95787,21.3128,-994.7725,0.737,,,
15901,0.003612831,-0.002670354,1.997442,0.01720582,0.09769681,0,-1.573039,20.35651,-989.8787,0.735,,,
15966,0.002670354,0.000296706,1.999973,0.02413438,0.090818,0,11.71552,21.63722,-995.6658,0.734,,,
16031,-0.000331613,0.002949606,2.002661,0.0231918,0.08996514,0,4.828407,25.37934,-1007.096,0.735,,,
16096,-0.002024582,0.002356195,2.005279,0.01503321,0.0884817,0,3.70558,26.15715,-937.411,0.734,,,
16161,-0.00015708,-0.001256637,2.007408,0.01191442,0.07642642,0,-1.281845,23.34599,-829.0012,0.728,,,
16226,0.002426008,-0.003368485,2.008979,0.01917358,0.06571838,0,-5.836811,29.38002,-864.556,0.72,,,
16291,0.002408554,-0.003490658,2.01048,0.03824897,0.02690111,0,0.7131354,26.92834,-906.7704,0.705,,,
16357,0.001169371,-0.001204277,2.011754,0.06498189,0.02919021,0,7.50238,25.8952,-936.8688,0.692,,,
16421,-0.00137881,0.003665191,2.012504,0.045861,0.02724276,0,4.507437,26.93216,-971.4354,0.674,,,
16486,-0.003944444,0.00710349,2.013342,0.02712072,0.02751075,0,-0.4201615,23.11884,-972.3449,0.654,,,
16551,-0.004136431,0.009843657,2.014058,0.02466355,-0.000868693,0,8.622775,33.64679,-1005.57,0.63,,,
16616,-0.004101524,0.01253146,2.014564,0.01324837,-0.03014787,0,7.839236,18.42819,-1024.066,0.606,,,
16681,-0.001989675,0.01462586,2.014599,0.000686052,-0.01589087,0,-3.110092,26.58158,-1037.984,0.584,,,
16746,-0.001012291,0.01548107,2.01493,-0.004123392,-0.01906545,0,4.438808,25.99212,-1043.673,0.564,,,
16811,0.000715585,0.01556834,2.01418,-0.01012364,-0.01250143,0,11.26537,29.86817,-1048.459,0.545,,,
16876,0.00312414,0.01621411,2.014075,-0.01476429,-0.01455486,0,12.47888,32.22829,-1061.416,0.529,,,
16942,0.005148721,0.01699951,2.01425,-0.02235599,-0.007834162,0,13.52875,31.07352,-1058.822,0.512,,,
17007,0.00731293,0.0175231,2.014477,-0.03261765,-0.004058627,0,10.45896,29.95142,-1057.063,0.5,,,
17072,0.006422812,0.01684243,2.015925,-0.04719008,0.004873946,0,14.68262,29.06861,-1060.275,0.492,,,
17137,0.003438299,0.0148353,2.017444,-0.05529996,0.01482364,0,19.12434,26.35452,-1053.004,0.486,,,
17202,0.00132645,0.01427679,2.019206,-0.06264874,0.01431115,0,22.04439,28.72928,-1053.505,0.482,,,
17267,0.000855211,0.01422443,2.020341,-0.06747022,0.01693928,0,21.09457,37.95181,-1043.326,0.484,,,
17332,-0.000959931,0.01260128,2.021493,-0.07537489,0.008782828,0,19.87511,30.59692,-1036.352,0.484,,,
17397,0.000890118,0.01094321,2.02268,-0.09164008,0.01431862,0,17.82016,38.46969,-1037.571,0.485,,,
17462,0.00137881,0.009634217,2.024215,-0.0952483,0.0114225,0,18.48715,28.56395,-1032.507,0.489,,,
17527,0.000767945,0.009197885,2.025751,-0.08751499,0.006536031,0,15.74378,34.39676,-1025.047,0.493,,,
17592,-0.002530727,0.006161012,2.027724,-0.09126562,0.002191369,0,19.74182,31.51571,-1027.112,0.498,,,
17657,-0.007539823,0.002373648,2.029731,-0.08426608,-0.007450552,0,15.98791,22.5736,-1005.203,0.506,,,
17722,-0.01230457,-0.000139626,2.031162,-0.09378605,-0.01646965,0,28.64881,19.86085,-1014.805,0.513,,,
17787,-0.01626647,3.49E-05,2.032523,-0.08123123,-0.03447725,0,15.6813,29.01777,-995.3888,0.523,,,
17852,-0.0188321,-0.000610865,2.034234,-0.1071419,-0.06160109,0,16.2073,29.29297,-997.0987,0.534,,,
17917,-0.01628392,-0.00158825,2.035002,-0.08554794,-0.08395923,0,20.63713,34.88734,-993.0058,0.543,,,
17982,-0.01474803,-0.00424115,2.036537,-0.08407249,-0.09949052,0,14.11538,29.35748,-991.5789,0.553,,,
18047,-0.01628392,-0.005532694,2.037672,-0.07482824,-0.1158142,0,7.021889,26.45081,-979.8747,0.562,,,
18112,-0.01495747,-0.005218534,2.03844,-0.06760082,-0.130251,0,18.96042,32.64626,-992.277,0.57,,,
18177,-0.009040806,-0.005585053,2.040395,-0.06499391,-0.145828,0,23.38744,31.11147,-992.135,0.581,,,
18242,-0.001029744,-0.006091199,2.042646,-0.06579494,-0.1524014,0,12.31286,30.24386,-974.3741,0.59,,,
18307,0.007888888,-0.0082205,2.04502,-0.06775446,-0.1662538,0,10.73677,28.22615,-973.5608,0.6,,,
18372,0.01579523,-0.00954695,2.048144,-0.06064946,-0.1644969,0,13.58324,42.96014,-979.2091,0.607,,,
18437,0.01925098,-0.01230457,2.050797,-0.05744971,-0.1557813,0,13.83261,39.78765,-985.4684,0.614,,,
18502,0.02087414,-0.01466077,2.052856,-0.05212132,-0.1454968,0,7.700119,46.17994,-979.9366,0.625,,,
18567,0.02127556,-0.01712168,2.054165,-0.06189867,-0.1356122,0,7.016985,42.61613,-975.0562,0.63,,,
18632,0.0175231,-0.01802925,2.055387,-0.03735275,-0.1287304,0,14.37762,45.94688,-982.4252,0.633,,,
18697,0.01125737,-0.01848304,2.056312,-0.01861957,-0.1192373,0,8.317221,39.95244,-977.0831,0.639,,,
18762,0.006265732,-0.01719149,2.057499,-0.01577463,-0.1149292,0,5.064627,34.81749,-981.0977,0.645,,,
18827,0.003822271,-0.01364847,2.059873,-0.007364979,-0.1149585,0,4.225893,23.06476,-991.5997,0.648,,,
18892,0.004502949,-0.007871435,2.062875,-0.003906015,-0.1148364,0,7.392539,31.22764,-996.3292,0.652,,,
18957,0.003752458,-0.00280998,2.065894,-0.00400463,-0.1150162,0,3.396073,30.46655,-996.7976,0.655,,,
19022,0.001797689,0.002827433,2.068529,-0.00031444,-0.1106853,0,15.59375,35.27292,-993.9518,0.659,,,
19087,0.00137881,0.008988446,2.070781,-0.004427696,-0.1124473,0,14.18659,43.00238,-990.0126,0.662,,,
19152,0.001064651,0.0116588,2.070955,-0.007355528,-0.1152928,0,-1.180922,35.52098,-982.7274,0.665,,,
19217,0.001343903,0.01137955,2.070711,-0.01047184,-0.1136359,0,-0.1708058,36.76196,-982.4502,0.674,,,
19282,0.004607669,0.01015782,2.069768,-0.02451535,-0.1101234,0,7.001018,41.12272,-975.3088,0.675,,,
19347,0.00965167,0.008569567,2.068355,-0.03164566,-0.1064281,0,14.49078,35.29464,-981.4557,0.676,,,
19412,0.01434661,0.006108652,2.066993,-0.02899178,-0.119166,0,4.976836,36.1482,-981.9855,0.677,,,
19477,0.01731367,0.003804818,2.065719,-0.02884666,-0.07903156,0,7.262598,35.75539,-988.0085,0.68,,,
19542,0.02164208,0.004485496,2.064672,-0.03218836,-0.04282551,0,6.001139,35.09365,-991.8528,0.681,,,
19607,0.0275762,0.005166175,2.063992,-0.03808391,-0.02324013,0,9.357889,35.11554,-1000.074,0.679,,,
19672,0.03476696,0.004747296,2.063904,-0.03447379,-0.01169789,0,10.92574,37.31089,-1010.775,0.679,,,
19737,0.03981096,0.006771878,2.063869,-0.04127501,0.01356389,0,5.553576,38.81644,-1021.341,0.679,,,
19802,0.04143412,0.004764749,2.064288,-0.04199519,0.02960793,0,6.278991,35.38204,-1018.177,0.68,,,
19867,0.04101523,-0.001850049,2.064375,-0.04007985,0.05195478,0,12.85793,30.81084,-1016.252,0.682,,,
19932,0.04131195,-0.01033235,2.064061,-0.0550327,0.09830511,0,4.756209,36.6154,-1005.32,0.689,,,
19997,0.04033456,-0.01698205,2.063782,-0.03608858,0.1119525,0,-2.740637,35.77426,-987.5577,0.694,,,
