Time,Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2)
4051,-0.002949606,-0.000331613,0.4564385,0,0,0,-26.62286,45.86341,-981.1216
4121,-0.003019419,-0.000575959,0.4564385,0,0,0,-24.27467,46.34962,-981.123
4191,-0.003071779,-0.000523599,0.4564385,0,0,0,-23.29766,46.3734,-980.5894
4261,-0.00312414,-0.000506146,0.4564559,0,0,0,-23.21815,46.23368,-985.1206
4331,-0.003176499,-0.000715585,0.4564385,0,0,0,-29.11178,46.50072,-984.8662
4401,-0.003211406,-0.000925025,0.4564559,0,0,0,-27.23005,46.46683,-980.3052
4471,-0.003246312,-0.000890118,0.4564559,0,0,0,-23.44593,46.30683,-981.0986
4541,-0.003246312,-0.000820305,0.456421,0,0,0,-23.19672,46.13765,-988.1309
4611,-0.003281219,-0.000733038,0.456421,0,0,0,-23.19077,46.09062,-989.125
4682,-0.003333579,-0.000663225,0.4564385,0,0,0,-23.13357,46.03574,-988.9111
4752,-0.003316126,-0.000628319,0.4564385,0,0,0,-29.91236,44.28799,-989.5557
4822,-0.003263766,-0.000750492,0.456421,0,0,0,-31.89986,37.5385,-988.5054
4892,-0.003176499,-0.000767945,0.4564036,0,0,0,-23.47044,45.03593,-981.4033
4962,-0.003211406,-0.000750492,0.4564036,0,0,0,-23.17773,46.36477,-981.5303
5032,-0.003159046,-0.000733038,0.4564036,0,0,0,-23.65499,37.16483,-981.0923
5102,-0.003106686,-0.000698132,0.4564036,0,0,0,-23.22771,46.76182,-984.3701
5172,-0.003141593,-0.000680678,0.4564036,0,0,0,-23.28196,46.28545,-981.918
5242,-0.003193952,-0.000628319,0.4564036,0,0,0,-23.08183,46.11806,-988.1821
5312,-0.003228859,-0.000593412,0.456421,0,0,0,-23.21044,45.84617,-980.7183
5382,-0.003263766,-0.000558505,0.456421,0,0,0,-22.95897,53.15082,-981.6235
5452,-0.003333579,-0.000506146,0.4563687,0,0,0,-25.09286,46.47724,-980.9907
5522,-0.003368485,-0.000558505,0.4563687,0,0,0,-24.1049,46.34016,-979.4648
5592,-0.003403392,-0.000523599,0.4563338,0,0,0,-23.08519,46.31445,-982.2319
5662,-0.003455752,-0.000471239,0.4563164,0,0,0,-23.25873,46.20159,-986.0889
5732,-0.003438299,-0.000418879,0.4562814,0,0,0,-23.21417,46.39853,-981.085
5802,-0.003508112,-0.000523599,0.456264,0,0,0,-25.94445,46.4384,-979.9204
5872,-0.003508112,-0.000506146,0.4562116,0,0,0,-23.39696,46.37749,-980.4277
5942,-0.003543018,-0.000453786,0.4561767,0,0,0,-23.18212,46.18385,-982.4854
6012,-0.003577925,-0.000523599,0.4561418,0,0,0,-30.15963,46.58875,-981.2817
6082,-0.003577925,-0.000645772,0.4561942,0,0,0,-30.27933,46.50758,-989.4063
6152,-0.003630285,-0.000698132,0.4561942,0,0,0,-22.70734,46.25443,-980.1968
6222,-0.003647738,-0.000628319,0.4561942,0,0,0,-23.16856,46.31252,-981.1348
6292,-0.003508112,-0.000593412,0.4561942,0,0,0,-23.17278,47.95103,-979.1572
6362,-0.003560472,-0.000558505,0.4561767,0,0,0,-23.22527,46.21272,-986.8916
6432,-0.003612831,-0.000523599,0.4561942,0,0,0,-23.26946,46.26072,-981.8926
6502,-0.003595378,-0.000471239,0.4561942,0,0,0,-23.10085,46.21158,-989.5449
6572,-0.003612831,-0.000418879,0.4561767,0,0,0,-23.2498,46.09546,-988.8804
6642,-0.003630285,-0.000366519,0.4561767,0,0,0,-23.27021,46.32565,-981.4692
6712,-0.003508112,-0.000349066,0.4561767,0,0,0,-23.2249,46.36011,-982.6201
6782,-0.003525565,-0.000331613,0.4561418,0,0,0,-23.13264,46.06704,-986.7725
6852,-0.003543018,-0.000366519,0.4561244,0,0,0,-23.45939,46.32622,-980.624
6922,-0.003525565,-0.000296706,0.4561244,0,0,0,-23.25299,46.32304,-982.1128
6992,-0.003543018,-0.000261799,0.4560894,0,0,0,-23.17392,46.17985,-990.124
7062,-0.003525565,-0.000226893,0.4560894,0,0,0,-23.29695,39.51345,-980.9678
7132,-0.003403392,-0.000226893,0.4561069,0,0,0,-23.26445,45.40586,-980.4355
7202,-0.003420845,-0.000226893,0.456072,0,0,0,-22.94045,46.46793,-984.48
7272,-0.003455752,-0.000191986,0.4560545,0,0,0,-23.13782,46.28387,-989.0103
7342,-0.003473205,-0.000191986,0.4560371,0,0,0,-23.36601,46.09032,-990.8677
7412,-0.003490658,-0.00015708,0.4560196,0,0,0,-22.37326,50.03861,-980.585
7482,-0.003490658,-0.000174533,0.4559673,0,0,0,-23.45499,46.21641,-980.0967
7552,-0.003490658,-0.000122173,0.4559847,0,0,0,-23.39501,42.84344,-981.1084
7622,-0.003473205,-8.73E-05,0.4559673,0,0,0,-23.30395,45.81902,-982.9688
7697,-0.003473205,-6.98E-05,0.4559673,0,0,0,-23.22119,44.62829,-987.9727
7763,-0.003455752,-0.00015708,0.4559323,0,0,0,-23.40302,46.37228,-981.1753
7833,-0.003508112,-0.000139626,0.4558975,0,0,0,-23.29396,46.24873,-981.1206
7903,-0.003525565,-0.00010472,0.45588,0,0,0,-23.14588,46.25806,-981.1206
7973,-0.003543018,-0.00010472,0.4558625,0,0,0,-29.98813,46.48086,-988.147
8043,-0.003595378,-0.00015708,0.4558625,0,0,0,-23.12099,46.28701,-981.8218
8113,-0.003560472,-0.000139626,0.4558975,0,0,0,-23.70986,46.34653,-987.5332
8183,-0.003595378,-0.000122173,0.45588,0,0,0,-24.01764,46.06838,-988.1133
8253,-0.003525565,-8.73E-05,0.4558451,0,0,0,0,0,0
8323,-0.003543018,-0.000139626,0.4558625,0,0,0,-28.59757,46.4915,-980.8311
8393,-0.003595378,-0.00010472,0.4558625,0,0,0,-23.09931,46.12782,-989.4341
8463,-0.003595378,-0.00015708,0.4558625,0,0,0,-22.7498,46.19312,-981.2842
8533,-0.003577925,-0.000139626,0.4558975,0,0,0,-23.12601,46.8665,-989.4316
8603,-0.003543018,-0.00010472,0.4558625,0,0,0,-23.08629,46.25054,-988.5786
8674,-0.003577925,-6.98E-05,0.4558451,0,0,0,-23.14058,46.15666,-989.2085
8744,-0.003490658,-5.24E-05,0.45588,0,0,0,-23.55464,37.87143,-988.2383
8814,-0.003403392,0,0.4558451,0,0,0,-23.28065,46.1093,-981.4072
8884,-0.003420845,1.75E-05,0.4558277,0,0,0,-23.30588,46.27281,-981.166
8954,-0.003438299,0,0.4557753,0,0,0,-23.21014,46.25126,-981.1279
9024,-0.003438299,0,0.4557927,0,0,0,-23.32127,46.26907,-981.1201
9094,-0.003473205,3.49E-05,0.4558102,0,0,0,-23.24945,46.32956,-980.6997
9164,-0.003351032,3.49E-05,0.4557753,0,0,0,-23.1314,47.60495,-979.6563
9234,-0.003368485,6.98E-05,0.4557404,0,0,0,-23.26424,44.70783,-981.9922
9304,-0.003211406,3.49E-05,0.4557404,0,0,0,-29.09921,39.66362,-981.0869
9374,-0.003263766,0.00010472,0.4557404,0,0,0,-23.12742,46.2171,-990.105
9444,-0.003281219,0.000122173,0.4557229,0,0,0,-23.27094,46.14141,-988.9224
9514,-0.003316126,0.000139626,0.4557229,0,0,0,-23.27313,46.25584,-985.8516
9584,-0.003246312,0.00015708,0.455688,0,0,0,-23.34602,46.34325,-974.3398
9655,-0.003298672,0.000174533,0.4556357,0,0,0,-18.00146,45.96531,-984.3369
9725,-0.003298672,0.000244346,0.4556182,0,0,0,-23.33251,46.32486,-981.2866
9795,-0.003351032,0.000279253,0.4556007,0,0,0,-19.80949,46.09118,-983.0986
9865,-0.003385939,0.000366519,0.4555833,0,0,0,-22.91315,46.12013,-981.1494
9935,-0.003385939,0.000349066,0.4555658,0,0,0,-23.19527,46.09444,-988.7422
10005,-0.003368485,0.000314159,0.4555658,0,0,0,-23.38979,46.25652,-981.0059
10075,-0.003385939,0.00020944,0.4555658,0,0,0,-23.29426,46.27597,-981.1118
10145,-0.003420845,0.000174533,0.4555484,0,0,0,-31.48257,46.62141,-981.1924
10215,-0.003211406,0.00010472,0.4555135,0,0,0,-23.67316,39.25681,-980.374
10285,-0.003001966,3.49E-05,0.4554437,0,0,0,-31.99872,37.35973,-980.4014
10355,-0.002879793,-0.000244346,0.4554437,0,0,0,-27.53482,48.12997,-989.4609
10425,-0.0029147,-0.000279253,0.4554262,0,0,0,-28.4016,46.65417,-981.2886
10495,-0.002949606,-0.000279253,0.4554088,0,0,0,-23.23734,46.2652,-979.5513
10565,-0.00296706,-0.000261799,0.4553913,0,0,0,-23.23549,46.24867,-988.8774
10635,-0.003001966,-0.000436332,0.4554088,0,0,0,-31.70908,46.75781,-981.1353
10705,-0.003019419,-0.000506146,0.4553913,0,0,0,-23.26222,46.22337,-986.3984
10775,-0.003036873,-0.000488692,0.4553739,0,0,0,-23.15145,46.05614,-989.7422
10845,-0.003054326,-0.000453786,0.4554088,0,0,0,-23.25575,46.29002,-980.6113
10915,-0.003106686,-0.000418879,0.4554262,0,0,0,-24.40812,46.32328,-981.1074
10985,-0.003089233,-0.000436332,0.4554088,0,0,0,-22.76453,46.60359,-983.1587
11055,-0.003106686,-0.000436332,0.4554088,0,0,0,-23.05373,46.06045,-988.9004
11125,-0.003159046,-0.000418879,0.4553913,0,0,0,-23.21923,46.23218,-983.6064
11195,-0.003193952,-0.000401426,0.4553739,0,0,0,-23.21646,46.15572,-987.0376
11265,-0.003211406,-0.000436332,0.4553564,0,0,0,-26.62723,46.47497,-982.2207
11335,-0.003228859,-0.000436332,0.4553215,0,0,0,-23.41502,46.25492,-981.0669
11405,-0.003281219,-0.000488692,0.4552691,0,0,0,-22.90522,46.14441,-988.5449
11475,-0.003298672,-0.000453786,0.4552517,0,0,0,-23.22891,46.35773,-981.0171
11545,-0.003298672,-0.000418879,0.4552517,0,0,0,-23.17545,46.20563,-984.1362
11615,-0.003333579,-0.000383972,0.4552691,0,0,0,-23.15559,46.24565,-986.0151
11685,-0.003351032,-0.000349066,0.4552691,0,0,0,-23.22366,46.13908,-989.5933
11755,-0.003368485,-0.000314159,0.4552517,0,0,0,-23.22657,46.24052,-987.4199
11825,-0.003368485,-0.000279253,0.4552342,0,0,0,-23.12609,46.29222,-984.4453
11895,-0.003385939,-0.000244346,0.4552691,0,0,0,-23.29283,46.25581,-979.9526
11965,-0.003403392,-0.000191986,0.4552691,0,0,0,-23.27665,46.29274,-981.0732
12035,-0.003403392,-0.000139626,0.4552168,0,0,0,-23.28852,46.36081,-981.5376
12105,-0.003385939,-8.73E-05,0.4551993,0,0,0,-19.90906,46.14589,-980.4341
12175,-0.003351032,-3.49E-05,0.4552168,0,0,0,-23.37822,43.09273,-980.501
12245,-0.003351032,-3.49E-05,0.4552168,0,0,0,-23.29382,45.88755,-981.1289
12315,-0.003385939,0,0.4551993,0,0,0,-23.20043,46.16742,-989.5547
12385,-0.003385939,5.24E-05,0.4551644,0,0,0,-23.23489,46.22091,-988.8691
12455,-0.003351032,1.75E-05,0.4551469,0,0,0,-23.5189,40.09563,-981.3877
12525,-0.003316126,5.24E-05,0.4551469,0,0,0,-23.26361,46.04454,-982.6582
12595,-0.003333579,0.00010472,0.4551121,0,0,0,-23.26938,46.27091,-980.6138
12665,-0.003281219,6.98E-05,0.4550771,0,0,0,-23.37678,46.60822,-975.5254
12736,-0.003316126,8.73E-05,0.4550597,0,0,0,-23.22765,46.35307,-981.21
12806,-0.003333579,0.00010472,0.4550597,0,0,0,-22.9399,46.36192,-982.0894
12876,-0.003368485,0.000139626,0.4550597,0,0,0,-23.36625,46.18942,-989.1001
12946,-0.003385939,0.00020944,0.4550597,0,0,0,-23.30552,46.35038,-981.0894
13016,-0.003403392,0.00020944,0.4550597,0,0,0,-23.24558,46.28143,-981.126
13086,-0.003438299,0.000226893,0.4550422,0,0,0,-23.19996,46.55194,-984.4883
13151,-0.003455752,0.000226893,0.4550248,0,0,0,-23.1652,46.26082,-986.3677
13221,-0.003473205,0.000261799,0.4550422,0,0,0,-23.1529,46.36107,-981.2759
13291,-0.003490658,6.98E-05,0.4550422,0,0,0,-29.2047,46.67023,-979.7954
13361,-0.003438299,3.49E-05,0.4550248,0,0,0,-23.40501,47.80143,-984.3174
13431,-0.003455752,3.49E-05,0.4550248,0,0,0,-23.28219,46.24633,-985.0513
13501,-0.003455752,5.24E-05,0.4550422,0,0,0,-23.27431,46.33808,-981.2881
13571,-0.003473205,5.24E-05,0.4550422,0,0,0,-23.29674,46.35994,-979.8208
13641,-0.003525565,6.98E-05,0.4550422,0,0,0,-22.40742,46.26924,-981.0986
13711,-0.003577925,0.000122173,0.4550422,0,0,0,-23.3182,46.26808,-982.6372
13781,-0.003543018,0.000122173,0.4550597,0,0,0,-23.33798,45.5999,-981.0522
13851,-0.003525565,0.000139626,0.4550422,0,0,0,-23.19063,46.19208,-982.1992
13921,-0.003525565,8.73E-05,0.4550597,0,0,0,-30.00307,46.64602,-979.7363
13991,-0.003560472,0.00010472,0.4550422,0,0,0,-23.07656,46.30953,-981.6543
14061,-0.003560472,3.49E-05,0.4550422,0,0,0,-22.61068,46.40161,-981.3721
14131,-0.003595378,8.73E-05,0.4550771,0,0,0,-23.26275,46.16278,-989.4263
14201,-0.003612831,0.00010472,0.4550771,0,0,0,-23.24193,46.2482,-981.7046
14271,-0.003647738,0.00010472,0.4550771,0,0,0,-23.31128,46.26082,-984.3101
14341,-0.003630285,3.49E-05,0.4550422,0,0,0,-32.12835,46.74032,-979.3135
14411,-0.003647738,0,0.4550248,0,0,0,-22.72761,46.16141,-982.4121
14481,-0.003630285,-3.49E-05,0.4550248,0,0,0,-22.39011,46.10114,-981.3877
14551,-0.003612831,-1.75E-05,0.4550073,0,0,0,-21.25956,46.04052,-989.0488
14621,-0.003647738,0,0.4549724,0,0,0,-22.88335,53.03743,-987.4634
14691,-0.003717551,-5.24E-05,0.4549375,0,0,0,-26.50377,46.41658,-988.9819
