Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(g x 10^-3),AccY(g x 10^-3),AccZ(g x 10^-3),Altitude(m)
0,0.0007679448,0.001361357,0.04948008,0,0,0,-15.49662,37.90435,-988.7651,0,
0,0.0007679448,0.001361357,0.04948008,0,0,0,-15.49662,37.90435,-988.7651,0
6,0.0007679448,0.001361357,0.04948008,0,0,0,-15.49662,37.90435,-988.7651,0
22,0.0007853982,0.001396263,0.04949754,0,0,0,-15.70806,37.96199,-988.8428,0
37,0.0007853982,0.001396263,0.04949754,0,0,0,-15.70806,37.96199,-988.8428,0
53,0.0008028515,0.001413717,0.04949754,0,0,0,-15.77327,37.89508,-988.8936,0
68,0.0008028515,0.001413717,0.04949754,0,0,0,-15.77327,37.89508,-988.8936,0
84,0.0008028515,0.00143117,0.04948008,0,0,0,-15.84312,37.9076,-988.8672,0
99,0.0008028515,0.00143117,0.04948008,0,0,0,-15.84312,37.9076,-988.8672,0
115,0.0008028515,0.001448623,0.04949754,0,0,0,-15.8922,37.91865,-988.8706,0
131,0.0008028515,0.001466077,0.04951499,0,0,0,-15.79742,37.92929,-988.8726,0
146,0.0008028515,0.001466077,0.04951499,0,0,0,-15.79742,37.92929,-988.8726,0
162,0.0008028515,0.00148353,0.04949754,0,0,0,-15.81563,37.90616,-988.8696,0
178,0.0007853982,0.001500983,0.04949754,0,0,0,0,0,0,0
193,0.0007853982,0.001518436,0.04949754,0,0,0,0,0,0,0
209,0.0007853982,0.001518436,0.04949754,0,0,0,-15.85301,37.90643,-988.8701,0
224,0.0007853982,0.00153589,0.04951499,0,0,0,-15.82253,37.99165,-988.8726,0
240,0.0007853982,0.001553343,0.04953244,0,0,0,-15.76975,37.91789,-989.5439,0
255,0.0007853982,0.001553343,0.04953244,0,0,0,0,0,0,0
271,0.0007853982,0.001570796,0.04953244,0,0,0,-15.83601,37.90866,-989.0815,0
287,0.0008028515,0.001570796,0.0495499,0,0,0,-15.89106,37.91019,-989.1011,0
302,0.0008203047,0.001605703,0.04958481,0,0,0,-15.84476,37.9736,-988.2686,0
318,0.0008203047,0.001605703,0.04958481,0,0,0,0,0,0,0
333,0.0008203047,0.001623156,0.04958481,0,0,0,0,0,0,0
349,0.0008203047,0.001623156,0.04958481,0,0,0,-15.80097,37.86424,-989.0342,0
365,0.0008203047,0.001623156,0.04958481,0,0,0,-15.80097,37.86424,-989.0342,0
380,0.0008028515,0.001658063,0.04961971,0,0,0,0,0,0,0
396,0.0008028515,0.001640609,0.04961971,0,0,0,-15.92749,37.91304,-988.9082,0
415,0.0008203047,0.001658063,0.04961971,0,0,0,-15.82906,37.96717,-988.8765,0
427,0.0008203047,0.001658063,0.04961971,0,0,0,-15.82906,37.96717,-988.8765,0
443,0.0008203047,0.001658063,0.04963716,0,0,0,-15.76942,37.9773,-988.8726,0
458,0.0008028515,0.001658063,0.04967207,0,0,0,-15.76926,39.33495,-988.8755,0
474,0.0008028515,0.001658063,0.04967207,0,0,0,-15.76926,39.33495,-988.8755,0
490,0.0007679448,0.001570796,0.04968952,0,0,0,-24.21174,36.57747,-980.4399,0
505,0.0007679448,0.001570796,0.04968952,0,0,0,-24.21174,36.57747,-980.4399,0
521,0.0007853982,0.001466077,0.04968952,0,0,0,-23.69376,31.26993,-989.042,0
536,0.0007853982,0.001466077,0.04968952,0,0,0,-23.69376,31.26993,-989.042,0
552,0.0009424778,0.00143117,0.04972443,0,0,0,-14.93408,31.94821,-989.2969,0
567,0.0009599311,0.001413717,0.04974188,0,0,0,-15.91516,38.69996,-988.936,0
583,0.0009424778,0.00143117,0.04974188,0,0,0,-15.95137,37.87248,-982.0181,0
599,0.0009424778,0.00143117,0.04974188,0,0,0,-15.95137,37.87248,-982.0181,0
615,0.0009424778,0.001448623,0.04977679,0,0,0,-15.93038,38.01667,-981.2139,0
630,0.0009424778,0.001448623,0.04979424,0,0,0,-17.74606,37.97203,-988.0293,0
645,0.0009424778,0.001448623,0.0498117,0,0,0,-16.42521,38.04521,-989.2856,0
661,0.0009424778,0.001466077,0.04982915,0,0,0,-16.4128,38.03695,-988.4932,0
677,0.0009599311,0.00148353,0.0498466,0,0,0,-15.61501,34.45126,-988.73,0
692,0.0009773844,0.00148353,0.0498466,0,0,0,-15.9235,30.96598,-988.8682,0
708,0.001064651,0.001466077,0.0498466,0,0,0,-17.59529,32.47766,-988.8281,0
723,0.001082104,0.001466077,0.0498466,0,0,0,0,0,0,0
739,0.001064651,0.001500983,0.0498466,0,0,0,-15.55543,38.56195,-988.8618,0
755,0.001082104,0.001500983,0.04986406,0,0,0,-15.64167,37.38952,-988.8794,0
770,0.001082104,0.001518436,0.04986406,0,0,0,-15.73803,37.80609,-988.873,0
786,0.001082104,0.001518436,0.04986406,0,0,0,-15.73803,37.80609,-988.873,0
802,0.001117011,0.001518436,0.04988151,0,0,0,-15.69549,39.24397,-987.3594,0
817,0.001117011,0.001518436,0.04988151,0,0,0,-15.69549,39.24397,-987.3594,0
833,0.001117011,0.001518436,0.04989896,0,0,0,-17.30349,38.79193,-981.9517,0
848,0.001099557,0.00148353,0.04991641,0,0,0,0,0,0,0
864,0.001099557,0.00148353,0.04993387,0,0,0,-16.40819,38.64633,-988.4146,0
880,0.001082104,0.001500983,0.04995132,0,0,0,-15.73131,37.79049,-986.5366,0
895,0.001082104,0.001500983,0.04995132,0,0,0,-15.73131,37.79049,-986.5366,0
911,0.001099557,0.001500983,0.04995132,0,0,0,-15.88797,37.90958,-981.2974,0
926,0.001099557,0.001500983,0.04995132,0,0,0,-15.98631,38.16726,-980.1221,0
942,0.001099557,0.001518436,0.04996878,0,0,0,-15.8816,38.12474,-983.7139,0
